simulation,position,driver_id,driver_name,team,total_time,gap_to_leader,pit_stops,fastest_lap,status,dnf_reason,strategy
3,17,HUL,HUL,Haas F1 Team,7316.558,174.845,5,99.583,finished,,"soft,hard,medium"
3,18,ALB,ALB,Williams,7316.969,175.257,5,99.397,finished,,"soft,hard,medium"
3,19,NOR,NOR,McLaren,7320.771,179.059,5,99.972,finished,,"soft,hard,medium"
3,20,SAR,SAR,Williams,7322.394,180.682,5,99.240,finished,,"soft,hard,medium"
4,1,VER,VER,Red Bull Racing,6875.118,0.000,4,97.211,finished,,"soft,hard,medium"
4,2,PER,PER,Red Bull Racing,6892.428,17.310,4,97.352,finished,,"soft,hard,medium"
4,3,SAI,SAI,Ferrari,6940.292,65.174,4,98.433,finished,,"soft,hard,medium"
4,4,LEC,LEC,Ferrari,6981.065,105.947,5,98.476,finished,,"soft,hard,medium"
4,5,NOR,NOR,McLaren,7003.514,128.396,4,98.952,finished,,"soft,hard,medium"
4,6,RUS,RUS,Mercedes,7011.622,136.504,4,99.292,finished,,"soft,hard,medium"
4,7,ALO,ALO,Aston Martin,7018.648,143.530,4,99.204,finished,,"soft,hard,medium"
4,8,STR,STR,Aston Martin,7022.296,147.178,4,99.197,finished,,"soft,hard,medium"
4,9,BOT,BOT,Kick Sauber,7024.040,148.922,4,99.282,finished,,"soft,hard,medium"
4,10,OCO,OCO,Alpine,7024.547,149.429,4,99.515,finished,,"soft,hard,medium"
4,11,HAM,HAM,Mercedes,7024.730,149.612,5,99.280,finished,,"soft,hard,medium"
4,12,TSU,TSU,RB,7025.496,150.378,4,99.539,finished,,"soft,hard,medium"
4,13,PIA,PIA,McLaren,7028.020,152.902,4,98.937,finished,,"soft,hard,medium"
4,14,HUL,HUL,Haas F1 Team,7029.794,154.676,4,99.691,finished,,"soft,hard,medium"
4,15,ALB,ALB,Williams,7032.117,156.999,5,99.084,finished,,"soft,hard,medium"
4,16,GAS,GAS,Alpine,241.707,0.000,0,100.610,dnf,hydraulics failure,soft
4,17,SAR,SAR,Williams,629.713,0.000,0,100.495,dnf,engine failure,soft
4,18,MAG,MAG,Haas F1 Team,2355.113,0.000,2,99.987,dnf,electrical failure,"soft,hard,medium"
4,19,RIC,RIC,RB,4399.390,0.000,3,99.526,dnf,engine failure,"soft,hard,medium"
4,20,ZHO,ZHO,Kick Sauber,4487.367,0.000,3,99.615,dnf,electrical failure,"soft,hard,medium"
5,1,VER,VER,Red Bull Racing,7100.812,0.000,4,96.908,finished,,"soft,hard,medium"
5,2,PER,PER,Red Bull Racing,7137.575,36.763,5,97.488,finished,,"soft,hard,medium"
5,3,SAI,SAI,Ferrari,7160.107,59.296,4,98.146,finished,,"soft,hard,medium"
5,4,LEC,LEC,Ferrari,7173.458,72.646,4,98.236,finished,,"soft,hard,medium"
5,5,ZHO,ZHO,Kick Sauber,7232.571,131.759,4,99.239,finished,,"soft,hard,medium"
5,6,ALO,ALO,Aston Martin,7243.474,142.663,4,99.188,finished,,"soft,hard,medium"
5,7,ALB,ALB,Williams,7244.969,144.157,4,99.411,finished,,"soft,hard,medium"
5,8,HAM,HAM,Mercedes,7245.290,144.478,4,99.211,finished,,"soft,hard,medium"
5,9,RUS,RUS,Mercedes,7246.342,145.531,4,98.942,finished,,"soft,hard,medium"
5,10,STR,STR,Aston Martin,7246.600,145.788,4,98.565,finished,,"soft,hard,medium"
5,11,NOR,NOR,McLaren,7247.414,146.602,4,99.351,finished,,"soft,hard,medium"
5,12,OCO,OCO,Alpine,7248.265,147.454,4,99.185,finished,,"soft,hard,medium"
5,13,HUL,HUL,Haas F1 Team,7249.555,148.744,4,98.840,finished,,"soft,hard,medium"
5,14,RIC,RIC,RB,7250.868,150.056,4,98.962,finished,,"soft,hard,medium"
5,15,PIA,PIA,McLaren,7252.989,152.177,4,99.127,finished,,"soft,hard,medium"
5,16,BOT,BOT,Kick Sauber,7267.181,166.370,5,99.188,finished,,"soft,hard,medium"
5,17,MAG,MAG,Haas F1 Team,7279.553,178.741,5,99.305,finished,,"soft,hard,medium"
5,18,TSU,TSU,RB,7282.572,181.760,5,99.655,finished,,"soft,hard,medium"
5,19,SAR,SAR,Williams,7285.002,184.191,5,99.371,finished,,"soft,hard,medium"
5,20,GAS,GAS,Alpine,504.159,0.000,0,100.835,dnf,engine failure,soft
6,1,PER,PER,Red Bull Racing,7172.763,0.000,4,96.989,finished,,"soft,hard,medium"
6,2,VER,VER,Red Bull Racing,7179.895,7.132,5,96.788,finished,,"soft,hard,medium"
6,3,LEC,LEC,Ferrari,7235.612,62.849,4,98.105,finished,,"soft,hard,medium"
6,4,SAI,SAI,Ferrari,7258.563,85.799,5,97.918,finished,,"soft,hard,medium"
6,5,STR,STR,Aston Martin,7301.113,128.349,4,98.963,finished,,"soft,hard,medium"
6,6,TSU,TSU,RB,7306.522,133.759,4,99.229,finished,,"soft,hard,medium"
6,7,PIA,PIA,McLaren,7311.889,139.126,5,98.614,finished,,"soft,hard,medium"
6,8,NOR,NOR,McLaren,7312.294,139.531,4,99.187,finished,,"soft,hard,medium"
6,9,HAM,HAM,Mercedes,7313.481,140.718,4,99.224,finished,,"soft,hard,medium"
6,10,OCO,OCO,Alpine,7317.635,144.872,5,99.009,finished,,"soft,hard,medium"
6,11,RIC,RIC,RB,7326.672,153.909,5,98.591,finished,,"soft,hard,medium"
6,12,ZHO,ZHO,Kick Sauber,7328.786,156.023,5,99.041,finished,,"soft,hard,medium"
6,13,HUL,HUL,Haas F1 Team,7330.797,158.034,5,99.122,finished,,"soft,hard,medium"
6,14,RUS,RUS,Mercedes,7332.103,159.339,5,98.469,finished,,"soft,hard,medium"
6,15,MAG,MAG,Haas F1 Team,7332.547,159.784,5,98.958,finished,,"soft,hard,medium"
6,16,ALO,ALO,Aston Martin,7333.719,160.955,5,98.764,finished,,"soft,hard,medium"
6,17,BOT,BOT,Kick Sauber,7335.388,162.625,5,99.003,finished,,"soft,hard,medium"
6,18,GAS,GAS,Alpine,526.074,0.000,0,100.348,dnf,gearbox failure,medium
6,19,SAR,SAR,Williams,1861.105,0.000,1,100.422,dnf,gearbox failure,"medium,hard"
6,20,ALB,ALB,Williams,6483.477,0.000,4,99.242,dnf,brake failure,"soft,hard,medium"
7,1,PER,PER,Red Bull Racing,6776.134,0.000,4,97.557,finished,,"soft,hard,medium"
7,2,VER,VER,Red Bull Racing,6794.936,18.803,5,97.895,finished,,"soft,hard,medium"
7,3,LEC,LEC,Ferrari,6818.162,42.028,3,98.764,finished,,"soft,hard,medium"
7,4,SAI,SAI,Ferrari,6842.137,66.003,4,98.887,finished,,"soft,hard,medium"
7,5,RUS,RUS,Mercedes,6886.592,110.459,4,99.304,finished,,"soft,hard,medium"
7,6,PIA,PIA,McLaren,6893.614,117.480,4,99.663,finished,,"soft,hard,medium"
7,7,HAM,HAM,Mercedes,6900.452,124.319,4,99.689,finished,,"soft,hard,medium"
7,8,HUL,HUL,Haas F1 Team,6900.906,124.772,4,99.350,finished,,"soft,hard,medium"
7,9,STR,STR,Aston Martin,6910.268,134.134,4,99.680,finished,,"soft,hard,medium"
7,10,OCO,OCO,Alpine,6912.998,136.865,4,99.453,finished,,"soft,hard,medium"
7,11,ALO,ALO,Aston Martin,6914.305,138.171,4,99.684,finished,,"soft,hard,medium"
7,12,RIC,RIC,RB,6917.964,141.830,4,99.103,finished,,"soft,hard,medium"
7,13,SAR,SAR,Williams,6918.850,142.716,4,99.969,finished,,"soft,hard,medium"
7,14,ZHO,ZHO,Kick Sauber,6922.688,146.554,4,99.276,finished,,"soft,hard,medium"
7,15,NOR,NOR,McLaren,6924.286,148.152,5,99.356,finished,,"soft,hard,medium"
7,16,TSU,TSU,RB,100.341,0.000,0,100.341,dnf,electrical failure,medium
7,17,BOT,BOT,Kick Sauber,1029.397,0.000,0,100.373,dnf,brake failure,soft
7,18,ALB,ALB,Williams,1842.525,0.000,1,100.536,dnf,brake failure,"medium,hard"
7,19,MAG,MAG,Haas F1 Team,2432.124,0.000,2,100.676,dnf,hydraulics failure,"soft,hard,medium"
7,20,GAS,GAS,Alpine,5329.869,0.000,4,99.654,dnf,engine failure,"soft,hard,medium"
8,1,VER,VER,Red Bull Racing,6866.403,0.000,4,96.281,finished,,"soft,hard,medium"
8,2,PER,PER,Red Bull Racing,6879.459,13.056,4,97.081,finished,,"soft,hard,medium"
8,3,SAI,SAI,Ferrari,6933.276,66.874,4,98.029,finished,,"soft,hard,medium"
8,4,LEC,LEC,Ferrari,6946.330,79.927,4,98.022,finished,,"soft,hard,medium"
8,5,RUS,RUS,Mercedes,7000.780,134.377,4,98.989,finished,,"soft,hard,medium"
8,6,HUL,HUL,Haas F1 Team,7003.746,137.344,4,99.086,finished,,"soft,hard,medium"
8,7,TSU,TSU,RB,7007.129,140.726,4,98.913,finished,,"soft,hard,medium"
8,8,NOR,NOR,McLaren,7011.789,145.386,4,98.531,finished,,"soft,hard,medium"
8,9,GAS,GAS,Alpine,7011.928,145.525,4,98.616,finished,,"soft,hard,medium"
8,10,HAM,HAM,Mercedes,7012.501,146.098,4,98.744,finished,,"soft,hard,medium"
8,11,ALO,ALO,Aston Martin,7015.959,149.556,4,98.857,finished,,"soft,hard,medium"
8,12,RIC,RIC,RB,7016.337,149.935,4,99.166,finished,,"soft,hard,medium"
8,13,ALB,ALB,Williams,7017.254,150.851,4,98.902,finished,,"soft,hard,medium"
8,14,SAR,SAR,Williams,7020.155,153.752,4,99.168,finished,,"soft,hard,medium"
8,15,PIA,PIA,McLaren,7020.398,153.995,4,98.946,finished,,"soft,hard,medium"
8,16,STR,STR,Aston Martin,7022.628,156.225,4,99.124,finished,,"soft,hard,medium"
8,17,OCO,OCO,Alpine,7031.068,164.665,4,99.210,finished,,"soft,hard,medium"
8,18,ZHO,ZHO,Kick Sauber,1993.368,0.000,1,100.656,dnf,hydraulics failure,"medium,hard"
8,19,MAG,MAG,Haas F1 Team,2960.099,0.000,2,100.745,dnf,gearbox failure,"soft,hard,medium"
8,20,BOT,BOT,Kick Sauber,3880.165,0.000,2,100.474,dnf,engine failure,"soft,hard,medium"
9,1,PER,PER,Red Bull Racing,7070.048,0.000,4,96.768,finished,,"soft,hard,medium"
9,2,VER,VER,Red Bull Racing,7082.359,12.310,5,96.801,finished,,"soft,hard,medium"
9,3,SAI,SAI,Ferrari,7116.417,46.369,4,97.852,finished,,"soft,hard,medium"
9,4,LEC,LEC,Ferrari,7139.193,69.145,4,98.394,finished,,"soft,hard,medium"
9,5,GAS,GAS,Alpine,7197.656,127.608,4,99.070,finished,,"soft,hard,medium"
9,6,MAG,MAG,Haas F1 Team,7197.828,127.780,4,98.824,finished,,"soft,hard,medium"
9,7,HAM,HAM,Mercedes,7198.753,128.705,4,98.831,finished,,"soft,hard,medium"
9,8,HUL,HUL,Haas F1 Team,7199.616,129.567,4,99.094,finished,,"soft,hard,medium"
9,9,ZHO,ZHO,Kick Sauber,7207.218,137.170,4,98.490,finished,,"soft,hard,medium"
9,10,ALO,ALO,Aston Martin,7209.801,139.753,4,98.525,finished,,"soft,hard,medium"
9,11,STR,STR,Aston Martin,7210.633,140.584,4,98.683,finished,,"soft,hard,medium"
9,12,PIA,PIA,McLaren,7213.233,143.185,5,98.775,finished,,"soft,hard,medium"
9,13,NOR,NOR,McLaren,7214.031,143.983,4,98.497,finished,,"soft,hard,medium"
9,14,ALB,ALB,Williams,7214.283,144.234,4,98.952,finished,,"soft,hard,medium"
9,15,RUS,RUS,Mercedes,7219.845,149.797,5,98.567,finished,,"soft,hard,medium"
9,16,BOT,BOT,Kick Sauber,7224.656,154.607,5,98.938,finished,,"soft,hard,medium"
9,17,OCO,OCO,Alpine,7227.215,157.166,5,98.680,finished,,"soft,hard,medium"
9,18,SAR,SAR,Williams,7228.798,158.749,5,98.434,finished,,"soft,hard,medium"
9,19,TSU,TSU,RB,363.288,0.000,0,100.974,dnf,brake failure,medium
9,20,RIC,RIC,RB,1312.517,0.000,0,100.626,dnf,hydraulics failure,soft
10,1,VER,VER,Red Bull Racing,6851.500,0.000,4,97.289,finished,,"soft,hard,medium"
10,2,PER,PER,Red Bull Racing,6880.981,29.481,5,97.408,finished,,"soft,hard,medium"
10,3,SAI,SAI,Ferrari,6916.438,64.938,4,98.209,finished,,"soft,hard,medium"
10,4,LEC,LEC,Ferrari,6923.713,72.213,4,98.100,finished,,"soft,hard,medium"
10,5,GAS,GAS,Alpine,6988.589,137.089,4,99.030,finished,,"soft,hard,medium"
10,6,HAM,HAM,Mercedes,6990.888,139.388,4,99.320,finished,,"soft,hard,medium"
10,7,OCO,OCO,Alpine,6992.313,140.813,4,99.576,finished,,"soft,hard,medium"
10,8,RIC,RIC,RB,6995.454,143.953,4,99.476,finished,,"soft,hard,medium"
10,9,PIA,PIA,McLaren,6996.764,145.264,5,99.301,finished,,"soft,hard,medium"
10,10,ALB,ALB,Williams,6998.268,146.767,4,99.221,finished,,"soft,hard,medium"
10,11,NOR,NOR,McLaren,6999.389,147.889,5,98.932,finished,,"soft,hard,medium"
10,12,ALO,ALO,Aston Martin,7008.108,156.607,5,99.391,finished,,"soft,hard,medium"
10,13,STR,STR,Aston Martin,7010.719,159.219,5,99.435,finished,,"soft,hard,medium"
10,14,TSU,TSU,RB,7013.703,162.202,5,99.163,finished,,"soft,hard,medium"
10,15,HUL,HUL,Haas F1 Team,7014.349,162.848,5,99.013,finished,,"soft,hard,medium"
10,16,RUS,RUS,Mercedes,7015.724,164.223,5,99.404,finished,,"soft,hard,medium"
10,17,MAG,MAG,Haas F1 Team,7017.257,165.757,5,99.357,finished,,"soft,hard,medium"
10,18,ZHO,ZHO,Kick Sauber,7020.146,168.646,5,99.016,finished,,"soft,hard,medium"
10,19,BOT,BOT,Kick Sauber,3887.001,0.000,2,100.480,dnf,hydraulics failure,"soft,hard,medium"
10,20,SAR,SAR,Williams,3998.115,0.000,2,100.545,dnf,engine failure,"soft,hard,medium"
11,1,PER,PER,Red Bull Racing,7512.878,0.000,4,98.464,finished,,"soft,hard,medium"
11,2,VER,VER,Red Bull Racing,7526.740,13.862,5,97.843,finished,,"soft,hard,medium"
11,3,SAI,SAI,Ferrari,7600.542,87.664,5,98.410,finished,,"soft,hard,medium"
11,4,LEC,LEC,Ferrari,7613.173,100.295,5,98.907,finished,,"soft,hard,medium"
11,5,GAS,GAS,Alpine,7650.204,137.326,4,100.026,finished,,"soft,hard,medium"
11,6,RUS,RUS,Mercedes,7659.930,147.052,5,99.932,finished,,"soft,hard,medium"
11,7,MAG,MAG,Haas F1 Team,7669.228,156.350,4,99.989,finished,,"soft,hard,medium"
11,8,OCO,OCO,Alpine,7678.128,165.251,5,99.623,finished,,"soft,hard,medium"
11,9,SAR,SAR,Williams,7685.055,172.177,5,99.778,finished,,"soft,hard,medium"
11,10,NOR,NOR,McLaren,7686.178,173.300,5,99.785,finished,,"soft,hard,medium"
11,11,HAM,HAM,Mercedes,7687.533,174.655,5,99.726,finished,,"soft,hard,medium"
11,12,RIC,RIC,RB,7691.061,178.183,5,100.102,finished,,"soft,hard,medium"
11,13,PIA,PIA,McLaren,7692.477,179.600,5,100.035,finished,,"soft,hard,medium"
11,14,TSU,TSU,RB,7694.664,181.786,5,99.866,finished,,"soft,hard,medium"
11,15,STR,STR,Aston Martin,7696.269,183.391,5,99.546,finished,,"soft,hard,medium"
11,16,ALO,ALO,Aston Martin,7696.816,183.938,5,100.112,finished,,"soft,hard,medium"
11,17,ALB,ALB,Williams,7698.152,185.274,5,99.912,finished,,"soft,hard,medium"
11,18,HUL,HUL,Haas F1 Team,7704.470,191.593,5,100.208,finished,,"soft,hard,medium"
11,19,ZHO,ZHO,Kick Sauber,7704.755,191.877,5,100.053,finished,,"soft,hard,medium"
11,20,BOT,BOT,Kick Sauber,4950.468,0.000,3,100.215,dnf,engine failure,"soft,hard,medium"
12,1,VER,VER,Red Bull Racing,6850.572,0.000,4,97.144,finished,,"soft,hard,medium"
12,2,PER,PER,Red Bull Racing,6871.389,20.817,4,97.338,finished,,"soft,hard,medium"
12,3,LEC,LEC,Ferrari,6933.516,82.944,4,97.858,finished,,"soft,hard,medium"
12,4,SAI,SAI,Ferrari,6949.745,99.173,5,97.636,finished,,"soft,hard,medium"
12,5,ZHO,ZHO,Kick Sauber,6989.331,138.759,4,99.017,finished,,"soft,hard,medium"
12,6,HAM,HAM,Mercedes,6990.899,140.327,4,98.932,finished,,"soft,hard,medium"
12,7,MAG,MAG,Haas F1 Team,6994.151,143.579,4,98.900,finished,,"soft,hard,medium"
12,8,OCO,OCO,Alpine,6994.541,143.969,4,98.789,finished,,"soft,hard,medium"
12,9,RUS,RUS,Mercedes,6996.891,146.319,4,99.277,finished,,"soft,hard,medium"
12,10,GAS,GAS,Alpine,6997.368,146.796,4,98.920,finished,,"soft,hard,medium"
12,11,PIA,PIA,McLaren,6998.319,147.747,4,98.915,finished,,"soft,hard,medium"
12,12,NOR,NOR,McLaren,7000.186,149.614,4,98.520,finished,,"soft,hard,medium"
12,13,ALB,ALB,Williams,7001.360,150.788,4,98.979,finished,,"soft,hard,medium"
12,14,TSU,TSU,RB,7006.099,155.527,4,99.152,finished,,"soft,hard,medium"
12,15,BOT,BOT,Kick Sauber,7006.777,156.205,4,99.298,finished,,"soft,hard,medium"
12,16,STR,STR,Aston Martin,7007.891,157.319,5,98.601,finished,,"soft,hard,medium"
12,17,HUL,HUL,Haas F1 Team,7009.666,159.094,4,99.295,finished,,"soft,hard,medium"
12,18,ALO,ALO,Aston Martin,7025.719,175.147,5,98.725,finished,,"soft,hard,medium"
12,19,SAR,SAR,Williams,7027.372,176.800,5,98.956,finished,,"soft,hard,medium"
12,20,RIC,RIC,RB,7031.178,180.606,5,98.937,finished,,"soft,hard,medium"
13,1,VER,VER,Red Bull Racing,7235.423,0.000,5,98.598,finished,,"soft,hard,medium"
13,2,PER,PER,Red Bull Racing,7238.700,3.277,5,98.871,finished,,"soft,hard,medium"
13,3,SAI,SAI,Ferrari,7278.353,42.929,4,99.367,finished,,"soft,hard,medium"
13,4,LEC,LEC,Ferrari,7299.456,64.033,5,99.791,finished,,"soft,hard,medium"
13,5,HAM,HAM,Mercedes,7336.190,100.766,4,100.473,finished,,"soft,hard,medium"
13,6,TSU,TSU,RB,7340.926,105.502,4,100.483,finished,,"soft,hard,medium"
13,7,NOR,NOR,McLaren,7342.248,106.824,4,100.721,finished,,"soft,hard,medium"
13,8,PIA,PIA,McLaren,7345.968,110.545,4,100.569,finished,,"soft,hard,medium"
13,9,SAR,SAR,Williams,7354.028,118.605,4,100.361,finished,,"soft,hard,medium"
13,10,GAS,GAS,Alpine,7364.263,128.839,4,100.677,finished,,"soft,hard,medium"
13,11,HUL,HUL,Haas F1 Team,7369.165,133.741,5,100.804,finished,,"soft,hard,medium"
13,12,RUS,RUS,Mercedes,7370.389,134.965,5,100.485,finished,,"soft,hard,medium"
13,13,MAG,MAG,Haas F1 Team,7373.974,138.551,5,100.193,finished,,"soft,hard,medium"
13,14,STR,STR,Aston Martin,7376.825,141.402,5,100.383,finished,,"soft,hard,medium"
13,15,ALO,ALO,Aston Martin,7380.977,145.553,5,100.885,finished,,"soft,hard,medium"
13,16,BOT,BOT,Kick Sauber,7381.999,146.576,5,100.819,finished,,"soft,hard,medium"
13,17,ZHO,ZHO,Kick Sauber,7382.978,147.555,5,100.986,finished,,"soft,hard,medium"
13,18,OCO,OCO,Alpine,7385.114,149.690,5,100.388,finished,,"soft,hard,medium"
13,19,RIC,RIC,RB,7386.286,150.862,5,100.281,finished,,"soft,hard,medium"
13,20,ALB,ALB,Williams,6542.260,0.000,4,101.087,dnf,hydraulics failure,"soft,hard,medium"
14,1,VER,VER,Red Bull Racing,6789.552,0.000,5,96.190,finished,,"soft,hard,medium"
14,2,PER,PER,Red Bull Racing,6806.005,16.452,5,96.958,finished,,"soft,hard,medium"
14,3,LEC,LEC,Ferrari,6844.994,55.442,4,98.622,finished,,"soft,hard,medium"
14,4,SAI,SAI,Ferrari,6855.551,65.998,5,98.250,finished,,"soft,hard,medium"
14,5,ALB,ALB,Williams,6904.424,114.872,4,99.200,finished,,"soft,hard,medium"
14,6,STR,STR,Aston Martin,6910.338,120.786,4,99.126,finished,,"soft,hard,medium"
14,7,RUS,RUS,Mercedes,6910.971,121.419,4,98.828,finished,,"soft,hard,medium"
14,8,NOR,NOR,McLaren,6914.431,124.879,5,98.723,finished,,"soft,hard,medium"
14,9,ZHO,ZHO,Kick Sauber,6917.450,127.897,4,99.522,finished,,"soft,hard,medium"
14,10,RIC,RIC,RB,6920.337,130.785,5,98.745,finished,,"soft,hard,medium"
14,11,HUL,HUL,Haas F1 Team,6922.080,132.528,5,98.623,finished,,"soft,hard,medium"
14,12,HAM,HAM,Mercedes,6925.707,136.155,5,98.588,finished,,"soft,hard,medium"
14,13,MAG,MAG,Haas F1 Team,6931.334,141.782,5,98.888,finished,,"soft,hard,medium"
14,14,OCO,OCO,Alpine,6932.926,143.374,5,98.851,finished,,"soft,hard,medium"
14,15,TSU,TSU,RB,6935.274,145.721,5,98.477,finished,,"soft,hard,medium"
14,16,BOT,BOT,Kick Sauber,6936.888,147.336,5,98.847,finished,,"soft,hard,medium"
14,17,PIA,PIA,McLaren,6938.578,149.025,5,98.671,finished,,"soft,hard,medium"
14,18,ALO,ALO,Aston Martin,6942.562,153.009,5,98.771,finished,,"soft,hard,medium"
14,19,SAR,SAR,Williams,100.801,0.000,0,100.801,dnf,hydraulics failure,medium
14,20,GAS,GAS,Alpine,3612.947,0.000,3,100.736,dnf,hydraulics failure,"soft,hard,medium"
15,1,VER,VER,Red Bull Racing,6998.177,0.000,4,96.933,finished,,"soft,hard,medium"
15,2,PER,PER,Red Bull Racing,7013.294,15.117,4,96.989,finished,,"soft,hard,medium"
15,3,SAI,SAI,Ferrari,7058.890,60.713,4,97.964,finished,,"soft,hard,medium"
15,4,LEC,LEC,Ferrari,7072.585,74.408,4,97.691,finished,,"soft,hard,medium"
15,5,RIC,RIC,RB,7135.672,137.495,4,99.042,finished,,"soft,hard,medium"
15,6,GAS,GAS,Alpine,7137.344,139.167,4,98.876,finished,,"soft,hard,medium"
15,7,SAR,SAR,Williams,7141.863,143.686,4,98.826,finished,,"soft,hard,medium"
